whatsapp_link,nombre_de_publications,nom_du_groupe
https://chat.whatsapp.com/GXKZ9OqgSvd0VDwt3nyPh3,424,VOS LOGEMENTS À YAOUNDÉ GROUPE 2
https://chat.whatsapp.com/JGPDvAHBrOLArE45Rr4kkZ,404,
https://chat.whatsapp.com/C8e16KcOdch7U7I9HjBgeG,159,Trouvez votre logement et celui de vos proches plus facilement
https://chat.whatsapp.com/HP0mnnkVKLH8mmnylJWK1u,136,Chacha immobilier à votre service bienvenue 😘
https://chat.whatsapp.com/CCFzDZqEs7m2HbhWIQbvcR,134,SERVICE IMMOBILIER RAPIDE 🏠
https://chat.whatsapp.com/ELhspusiguiJl9poWQkLFq,114,Tout est grâce 2
https://chat.whatsapp.com/KmuL0joFOJEGoigYm4ETet,103,Ballack studio chambre et appartement
https://chat.whatsapp.com/KZLnHoW2mIXC6sMkOqjDZ1,102,VISION IMMO 🛜
https://chat.whatsapp.com/JwACQYGgStuBnX5PMMb8xw,98,Je cherche mon logement à Yaoundé avec Michel multi services !
https://chat.whatsapp.com/Juztkh93E40I7oRvU0nOlX,90,China Grand 🤑🤑
https://chat.whatsapp.com/CICV3trrCDIFQS3E6BCJZG,87,Tony immobilier 🏠
https://chat.whatsapp.com/GlvTkIQpzBL25c05b9Qd26,85,MANO Clothing 👖👕👔
https://chat.whatsapp.com/LTq09fPDhCWIqaTZuq27MF,71,KG IMMOBILIER YAOUNDÉ
https://chat.whatsapp.com/JuI9BiYBDa56PzaBg4vHsR,71,Ali immobilier yaounde🏨🕍🛖🚦🚧🚔🚖🚍
https://chat.whatsapp.com/JHbO7LOYdO5GxClvj9URv7,68,Edouard Service immobilier 🇧🇫
https://chat.whatsapp.com/BGnlhRChuxC6bGh8b339cK,63,COOPÉRATIVE HABITAT ~ AGCI JOSPIN 
https://chat.whatsapp.com/KMURPYoQ4pqEePEsKD5Imz,60,Appartements à Yaoundé 
https://chat.whatsapp.com/JRTJz1D3iDnHOh2WFNjLOR,54,Misala location appartement
https://chat.whatsapp.com/KX36qnqD85W3dD3eVojGEc,53,𝙁𝘼𝘾𝙄𝙇𝙄𝙏𝙔 𝙄𝙈𝙈𝙊𝘽𝙄𝙇𝙄𝙀𝙍237
https://chat.whatsapp.com/L1z8WVqBQOKKdABOrolmeT,52,Ramie store 💥🥰
https://chat.whatsapp.com/Clxp0PbDhTS2LeVYEpS7OY,50,Misala location moyen  50$_200$
https://chat.whatsapp.com/BI6to8Eha0CAw2K1QQBCob,50,
https://chat.whatsapp.com/KWKrYgV9GZr8wFXcc74XQA,50,EST KEDJU GROUP IMMOBILIER
